"username","nama","subject_type","properties","created_at"
Canggih_Hangga,Canggih Hangga Wicaksono,App\Models\LkeTestTp,"{""old"": {""id"": 101, ""rb_general"": 61.89, ""rb_tematik"": 10.37, ""kegiatan_id"": ""8"", ""lke_instansi_id"": ""474"", ""index_rb_penyesuaian"": 81.92, ""rb_general_penyesuaian"": 71.55, ""bobot_rb_general_penyesuaian"": 86.5}, ""attributes"": {""id"": 101, ""rb_general"": 61.89, ""rb_tematik"": 10.37, ""kegiatan_id"": ""8"", ""lke_instansi_id"": ""474"", ""index_rb_penyesuaian"": 81.92, ""rb_general_penyesuaian"": 71.55, ""bobot_rb_general_penyesuaian"": 100}}","2024-02-23 01:09:07"
Canggih_Hangga,Canggih Hangga Wicaksono,App\Models\LkeTestTp,"{""old"": {""id"": 101, ""rb_general"": 61.89, ""rb_tematik"": 10.37, ""kegiatan_id"": ""8"", ""lke_instansi_id"": ""474"", ""index_rb_penyesuaian"": 81.92, ""rb_general_penyesuaian"": 71.55, ""bobot_rb_general_penyesuaian"": 100}, ""attributes"": {""id"": 101, ""rb_general"": 61.89, ""rb_tematik"": 10.37, ""kegiatan_id"": ""8"", ""lke_instansi_id"": ""474"", ""index_rb_penyesuaian"": 72.26, ""rb_general_penyesuaian"": 61.89, ""bobot_rb_general_penyesuaian"": 100}}","2024-02-23 01:09:07"
yanneri_andreas,Yanneri Andreas Panjaitan,App\Models\LkeTestTpLine,"{""old"": {""id"": 4585, ""note"": ""Sangat Baik\n"", ""todo"": ""Selamat dan terus pertahankan prestasi yang sudah diraih."", ""score"": ""90.21"", ""test_line"": 956, ""test_tp_id"": ""66"", ""score_index"": ""1.35""}, ""attributes"": {""id"": 4585, ""note"": ""Sangat Baik"", ""todo"": ""Selamat dan terus pertahankan prestasi yang sudah diraih."", ""score"": ""90.21"", ""test_line"": 956, ""test_tp_id"": ""66"", ""score_index"": ""2.26""}}","2024-02-23 12:18:17"
yanneri_andreas,Yanneri Andreas Panjaitan,App\Models\LkeTestTp,"{""old"": {""id"": 66, ""rb_general"": 60.83, ""rb_tematik"": 10.77, ""kegiatan_id"": ""7"", ""lke_instansi_id"": ""564"", ""index_rb_penyesuaian"": 71.6, ""rb_general_penyesuaian"": 60.83, ""bobot_rb_general_penyesuaian"": 100}, ""attributes"": {""id"": 66, ""rb_general"": 61.74, ""rb_tematik"": 10.77, ""kegiatan_id"": ""7"", ""lke_instansi_id"": ""564"", ""index_rb_penyesuaian"": 72.51, ""rb_general_penyesuaian"": 61.74, ""bobot_rb_general_penyesuaian"": 100}}","2024-02-23 12:18:17"
admin,Administrator,App\Models\LkeTestTpLine,"{""old"": {""id"": 8332, ""note"": null, ""todo"": null, ""score"": null, ""test_line"": 1048, ""test_tp_id"": ""161"", ""score_index"": null}, ""attributes"": {""id"": 8332, ""note"": null, ""todo"": ""Tetap melaksanakan SKM dan melakukan evaluasi hasil SKM secara konsisten"", ""score"": ""85.65"", ""test_line"": 1048, ""test_tp_id"": ""161"", ""score_index"": ""6.85""}}","2024-02-27 10:30:36"
admin,Administrator,App\Models\LkeTestTp,"{""old"": {""id"": 161, ""rb_general"": 51.38, ""rb_tematik"": 12.21, ""kegiatan_id"": ""8"", ""lke_instansi_id"": ""91"", ""index_rb_penyesuaian"": 63.59, ""rb_general_penyesuaian"": 51.38, ""bobot_rb_general_penyesuaian"": 100}, ""attributes"": {""id"": 161, ""rb_general"": 58.23, ""rb_tematik"": 12.21, ""kegiatan_id"": ""8"", ""lke_instansi_id"": ""91"", ""index_rb_penyesuaian"": 70.44, ""rb_general_penyesuaian"": 58.23, ""bobot_rb_general_penyesuaian"": 100}}","2024-02-27 10:30:36"
admin,Administrator,App\Models\LkeTestTpLine,"{""old"": {""id"": 13709, ""note"": ""Nilai \""nol' dan membutuhkan perhatian"", ""todo"": null, ""score"": null, ""test_line"": 1048, ""test_tp_id"": ""293"", ""score_index"": ""0""}, ""attributes"": {""id"": 13709, ""note"": null, ""todo"": ""Mendorong Pelaksanaan SKM Pada Semua UPP"", ""score"": ""86.52"", ""test_line"": 1048, ""test_tp_id"": ""293"", ""score_index"": ""6.92""}}","2024-02-27 10:31:42"
admin,Administrator,App\Models\LkeTestTp,"{""old"": {""id"": 293, ""rb_general"": 43.43, ""rb_tematik"": 3.51, ""kegiatan_id"": ""8"", ""lke_instansi_id"": ""98"", ""index_rb_penyesuaian"": 46.94, ""rb_general_penyesuaian"": 43.43, ""bobot_rb_general_penyesuaian"": 100}, ""attributes"": {""id"": 293, ""rb_general"": 50.35, ""rb_tematik"": 3.51, ""kegiatan_id"": ""8"", ""lke_instansi_id"": ""98"", ""index_rb_penyesuaian"": 53.86, ""rb_general_penyesuaian"": 50.35, ""bobot_rb_general_penyesuaian"": 100}}","2024-02-27 10:31:42"
admin,Administrator,App\Models\LkeTestTpLine,"{""old"": {""id"": 27841, ""note"": ""1. b. 2  aspek integrasi, konsistensi antara  indikator kinerja sasaran Renja K/L terhadap indikator kinerja sasaran strategis Renstra K/L, memperoleh nilai 5,29 dari nilai maksimum 8,00. Maka mendapatkan  predikat Kurang atau konsisten 66,12%."", ""todo"": ""Meningkatkan dan Memastikan Nomenklatur dan Satuan Target Indikator Kinerja Sasaran Strategis, pada Renja K/L dan Renstra K/L memiliki kesamaan kata berikut tata cara penulisan Besaran Targetnya."", ""score"": ""89.58"", ""test_line"": 996, ""test_tp_id"": ""643"", ""score_index"": ""1.79""}, ""attributes"": {""id"": 27841, ""note"": ""1. b. 2  aspek integrasi, konsistensi antara  indikator kinerja sasaran Renja K/L terhadap indikator kinerja sasaran strategis Renstra K/L, memperoleh nilai 5,29 dari nilai maksimum 8,00. Maka mendapatkan  predikat Kurang atau konsisten 66,12%."", ""todo"": ""Meningkatkan dan Memastikan Nomenklatur dan Satuan Target Indikator Kinerja Sasaran Strategis, pada Renja K/L dan Renstra K/L memiliki kesamaan kata berikut tata cara penulisan Besaran Targetnya."", ""score"": ""100"", ""test_line"": 996, ""test_tp_id"": ""643"", ""score_index"": ""2""}}","2024-02-27 10:32:59"
admin,Administrator,App\Models\LkeTestTp,"{""old"": {""id"": 643, ""rb_general"": 64.36, ""rb_tematik"": 2.54, ""kegiatan_id"": ""6"", ""lke_instansi_id"": ""609"", ""index_rb_penyesuaian"": 68.89, ""rb_general_penyesuaian"": 66.35, ""bobot_rb_general_penyesuaian"": 97}, ""attributes"": {""id"": 643, ""rb_general"": 64.57, ""rb_tematik"": 2.54, ""kegiatan_id"": ""6"", ""lke_instansi_id"": ""609"", ""index_rb_penyesuaian"": 69.11, ""rb_general_penyesuaian"": 66.57, ""bobot_rb_general_penyesuaian"": 97}}","2024-02-27 10:32:59"
