lke_parameter_id,group,min_value,max_value,bobot,target_baik
2124,kl,,,100,
2124,provinsi,,,100,
2124,kabupaten,,,100,
2125,kl,,,10,
2125,provinsi,,,20,
2125,kabupaten,,,20,
2126,kl,,,10,
2126,provinsi,,,10,
2126,kabupaten,,,10,
2127,kl,,,40,
2127,provinsi,,,40,
2127,kabupaten,,,40,
2128,kl,,,50,
2128,provinsi,,,50,
2128,kabupaten,,,50,
2129,kl,,,10,
2129,provinsi,,,20,
2129,kabupaten,,,20,
2130,kl,0,3,3,
2130,provinsi,0,3,3,
2130,kabupaten,0,3,3,
2131,kl,0,100,7,
2131,provinsi,0,100,7,
2131,kabupaten,0,100,7,
2132,kl,0,100,2,80
2133,kl,0,5,2,4.01
2133,provinsi,0,5,3,4.01
2133,kabupaten,0,5,3,4.01
2134,kl,1,5,4,3
2134,provinsi,1,5,4,3
2134,kabupaten,1,5,4,3
2135,kl,0,3,3,2
2135,provinsi,0,3.5,3,2.5
2135,kabupaten,0,3.5,3.5,2.5
2136,kl,0,100,4,60.01
2136,provinsi,0,100,4,60.01
2136,kabupaten,0,100,4,60.01
2137,kl,0,100,2,81.1
2137,provinsi,0,100,2.5,81.1
2138,kl,0,5,2,3
2138,provinsi,0,5,2,3
2138,kabupaten,0,5,2.5,3
2139,kl,0,100,2,60.01
2139,provinsi,0,100,2.5,60.01
2139,kabupaten,0,100,2.5,60.01
2140,kl,0,100,2,88
2141,kl,1,4,2,3
2142,kl,1,5,1.5,4
2142,provinsi,1,5,2.5,4
2142,kabupaten,1,5,2.5,4
2143,kl,0,100,1.5,65
2143,provinsi,0,100,2,65
2143,kabupaten,0,100,2.5,65
2144,kl,0,100,1.5,70.01
2144,provinsi,0,100,2,70.01
2144,kabupaten,0,100,2.5,70.01
2145,kl,1,5,1.5,2.6
2145,provinsi,1,5,2,2.6
2145,kabupaten,1,5,2.5,2.6
2146,kl,0,100,2,70.01
2146,provinsi,0,100,2.5,70.01
2146,kabupaten,0,100,2.5,70.01
2147,kl,0,410,4,250
2147,provinsi,0,410,4,250
2147,kabupaten,0,410,4,250
2148,kl,0,5,1.5,3.51
2148,provinsi,0,5,2,3.51
2148,kabupaten,0,5,2,3.51
2149,kl,0,100,1.5,78
2149,provinsi,0,100,2,78
2149,kabupaten,0,100,2,78
2150,kl,1,5,9,2.6
2150,provinsi,1,5,9,2.6
2150,kabupaten,1,5,9,2.6
2151,kl,0,100,3,90.01
2152,kl,0,100,7,
3148,provinsi,0,100,4,
3148,kabupaten,0,100,4,
3149,provinsi,0,100,6,
3149,kabupaten,0,100,6,
2154,kl,0,3,5,5
2154,provinsi,0,3,5,5
2154,kabupaten,0,3,5,5
2155,kl,0,100,4,75
2155,provinsi,0,100,4,75
2155,kabupaten,0,100,4,75
2156,kl,0,100,4,5
2156,provinsi,0,100,4,5
2156,kabupaten,0,100,4,5
2157,kl,0,100,10,77.5
2157,provinsi,0,100,10,77.5
2157,kabupaten,0,100,10,77.5
2158,kl,0,100,8,76.61
2158,provinsi,0,100,8,76.61
2158,kabupaten,0,100,8,76.61
2159,kl,0,2,2,
2160,kl,0,2,2,
2161,kl,0,2,2,
2162,kl,0,2,2,
2163,kl,0,2,2,
3155,provinsi,0,1,1,
3155,kabupaten,0,1,1,
3156,provinsi,0,1,1,
3156,kabupaten,0,1,1,
3157,provinsi,0,1,1,
3157,kabupaten,0,1,1,
3158,provinsi,0,1,1,
3158,kabupaten,0,1,1,
3159,provinsi,0,1,1,
3159,kabupaten,0,1,1,
3160,provinsi,0,3,3,
3160,kabupaten,0,3,3,
3161,provinsi,0,3,3,
3161,kabupaten,0,3,3,
3162,provinsi,0,3,3,
3162,kabupaten,0,3,3,
3163,provinsi,0,3,3,
3163,kabupaten,0,3,3,
3164,provinsi,0,3,3,
3164,kabupaten,0,3,3,
