"id","name","code","weight","parent_id","level","create_uid","create_date","write_uid","write_date","set_id","negative"
2124,RB General,"1",100.0,"",0,6,"2023-03-27 08:01:13.982152",6,"2023-03-27 08:01:13.982152",5,""
2126,RB Tematik,"2",10.0,"",0,6,"2023-03-27 08:01:57.292707",6,"2023-03-27 08:01:57.292707",5,""
2127,Strategi Pelaksanaan RB General,A,10.0,"2124",1,6,"2023-03-27 08:04:05.378642",6,"2023-03-27 08:04:05.378642",5,""
2128,Capaian Pelaksanaan Kebijakan Reformasi Birokrasi,B,40.0,"2124",1,6,"2023-03-27 08:04:05.378642",6,"2023-03-27 08:04:05.378642",5,""
2129,Capaian Sasaran Strategis Reformasi Birokrasi,C,50.0,"2124",1,6,"2023-03-27 08:04:05.378642",6,"2023-03-27 08:04:05.378642",5,""
2131,Strategi Pelaksanaan RB General,A1,10.0,"2127",2,6,"2023-03-27 08:09:36.935766",6,"2023-03-27 08:09:36.935766",5,""
2132,Hard Element (Sasaran 1),B1,33.0,"2128",2,6,"2023-03-27 08:09:36.935766",2,"2023-10-30 15:35:50.390115",5,""
2133,Soft Element (Sasaran 2),B2,7.0,"2128",2,6,"2023-03-27 08:09:36.935766",2,"2023-10-30 15:35:50.390115",5,""
2134,Hard Element (Sasaran Strategis 1),C1,28.0,"2129",2,6,"2023-03-27 08:09:36.935766",2,"2023-10-30 15:35:50.390115",5,""
2135,Soft Element (Sasaran Strategis 2),C2,22.0,"2129",2,6,"2023-03-27 08:09:36.935766",2,"2023-10-30 15:35:50.390115",5,""
2141,Rencana Aksi Pembangunan RB General,A101,3.0,"2131",3,6,"2023-03-27 08:48:20.514263",6,"2023-03-27 08:48:20.514263",5,""
2142,Tingkat Implementasi Rencana Aksi RB General,A102,7.0,"2131",3,6,"2023-03-27 08:48:20.514263",6,"2023-03-28 02:37:46.17199",5,""
2143,Persentase Penyederhanaan Struktur Organisasi,B101,2.0,"2132",3,6,"2023-03-27 08:48:20.514263",2,"2023-10-30 21:59:20.05429",5,""
2144,Tingkat Capaian Sistem Kerja untuk Penyederhanaan Birokrasi,B102,2.0,"2132",3,6,"2023-03-27 08:48:20.514263",2,"2023-10-30 21:59:20.05429",5,""
2145,Tingkat Maturitas Sistem Pengendalian Intern Pemerintah (SPIP),B103,4.0,"2132",3,6,"2023-03-27 08:48:20.514263",2,"2023-10-30 22:00:12.414206",5,""
2146,Tingkat Keberhasilan Pembangunan Zona Integritas,B104,3.0,"2132",3,6,"2023-03-27 08:48:20.514263",2,"2023-10-30 22:00:40.225738",5,""
2147,Nilai Sistem Akuntabilitas Kinerja Instansi Pemerintah (SAKIP),B105,4.0,"2132",3,6,"2023-03-27 08:48:20.514263",2,"2023-10-30 22:00:49.95474",5,""
2148,Indeks Perencanaan Pembangunan,B106,2.0,"2132",3,6,"2023-03-27 08:48:20.514263",2,"2023-10-30 22:01:00.382427",5,""
